star,region,constellation,security_status,connections
Kakakela,Lonetrek,Karnola,0.97,"['Sobaseki', 'Airkio', 'Kamokor', 'Todaki', 'Ruvas']"
Iyen-Oursta,Sinq Laison,Gallente Border Zone,0.78,"['Perimeter', 'Faurent', 'Ignoitton']"
Alikara,The Citadel,Arekin,0.71,"['New Caldari', 'Vellaine', 'Isanamo', 'Kaimon', 'Aikoro']"
Paara,The Citadel,Outartoh,0.78,"['Ahynada', 'Annaro', 'Muvolailen']"
Annaro,The Citadel,Outartoh,0.81,"['Paara', 'Isutaka', 'Muvolailen']"
Sakenta,The Forge,Ihilakken,0.98,['Ikuchi']
Mitsolen,The Forge,Ruomo,0.63,"['Itamo', 'Mahtista']"
Jatate,The Forge,Ruomo,0.64,['Itamo']
Vaankalen,The Forge,Ruomo,0.65,['Itamo']
Kylmabe,The Forge,Ruomo,0.73,['Itamo']
Ahtulaima,The Forge,Ruomo,0.61,['Itamo']
Unpas,The Forge,Anttanen,0.95,"['Shihuken', 'Urlen', 'Hjortur', 'Uitra']"
Hykkota,The Forge,Ihilakken,0.82,"['Ansila', 'Outuni', 'Ohmahailen']"
Kisogo,The Forge,Kimotoro,1,['Urlen']
Poinen,The Forge,Onirvura,0.56,"['Nomaa', 'Liekuri', 'Obanen', 'Josameto', 'Otela']"
Liekuri,The Forge,Onirvura,0.6,"['Poinen', 'Obanen', 'Josameto']"
Otela,The Forge,Onirvura,0.53,"['Poinen', 'Josameto']"
Isikemi,Lonetrek,Koichi,0.78,"['Funtanainen', 'Uosusuokko', 'Aikoro']"
Uemisaisen,Lonetrek,Haurala,0.61,"['Sotrentaira', 'Ouranienen', 'Erenta', 'Isanamo', 'Litiura']"
Iidoken,Lonetrek,Okela,0.84,"['Veisto', 'Tsuguwa', 'Nourvukaiken', 'Sarekuwa', 'Isanamo', 'Kirras']"
Nourvukaiken,Lonetrek,Okela,0.82,"['Iidoken', 'Tsuguwa', 'Tunttaras', 'Tama']"
Sarekuwa,Lonetrek,Okela,0.94,"['Veisto', 'Iidoken', 'Tunttaras', 'Halaima', 'Hitanishio']"
Vellaine,Lonetrek,Kaala,0.58,"['Arvasaras', 'Akonoinen', 'Autaris', 'Alikara']"
Saatuban,Lonetrek,Makiriemi,0.55,"['Isanamo', 'Piekura']"
Isikano,Lonetrek,Makiriemi,0.68,"['Isanamo', 'Pakkonen']"
Amsen,Lonetrek,Sela,1,"['Ekura', 'Malkalen']"
Korama,Lonetrek,Sela,0.77,"['Aurohunen', 'Piekura', 'Malkalen', 'Ylandoki', 'Aakari']"
Ylandoki,Lonetrek,Sela,0.83,"['Malkalen', 'Korama', 'Aakari', 'Isseras']"
Airkio,Lonetrek,Karnola,0.85,"['Tsuguwa', 'Kakakela', 'Kamokor', 'Ruvas', 'Akiainavas']"
Kamokor,Lonetrek,Karnola,0.69,"['Airkio', 'Kakakela', 'Ruvas']"
Todaki,Lonetrek,Karnola,1,['Kakakela']
Ruvas,Lonetrek,Karnola,0.78,"['Airkio', 'Kakakela', 'Kamokor', 'Umokka']"
Faurent,Sinq Laison,Gallente Border Zone,0.54,"['Iyen-Oursta', 'Ambeke', 'Carrou', 'Direrie']"
Ignoitton,Sinq Laison,Gallente Border Zone,0.44,"['Iyen-Oursta', 'Carrou']"
Kaimon,The Citadel,Arekin,0.69,"['Kausaaja', 'Oiniken', 'Alikara']"
Ahynada,The Citadel,Arekin,0.8,"['Tunttaras', 'Kausaaja', 'Oiniken', 'Paara', 'Komo']"
Aikoro,The Citadel,Arekin,0.77,"['Funtanainen', 'Isikemi', 'Oiniken', 'Alikara']"
Isutaka,The Citadel,Outartoh,0.83,"['Annaro', 'Tasabeshi']"
Sirppala,The Citadel,Suon,0.88,"['Urlen', 'Inaro', 'Anttiri', 'Urhinichi']"
Kusomonmon,The Citadel,Tasen,0.85,"['Urlen', 'Suroken']"
Kappas,Lonetrek,Koichi,0.87,['Funtanainen']
Aokannitoh,The Forge,Ihilakken,0.97,['Hirtamon']
Ichinumi,Lonetrek,Okela,0.88,['Tunttaras']
Mahtista,The Forge,Ruomo,0.66,['Mitsolen']
Shihuken,The Forge,Anttanen,0.87,"['Tuuriainas', 'Unpas', 'Senda']"
Nomaa,The Forge,Anttanen,0.61,"['Geras', 'Saisio', 'Poinen']"
Outuni,The Forge,Ihilakken,0.73,"['Hykkota', 'Ohmahailen', 'Eskunen']"
Ohmahailen,The Forge,Ihilakken,0.66,"['Hykkota', 'Outuni', 'Eskunen']"
Obanen,The Forge,Onirvura,0.56,"['Poinen', 'Liekuri', 'Olo']"
Aurohunen,Lonetrek,Okunda,0.38,"['Dantumi', 'Vaajaita', 'Korama']"
Uosusuokko,Lonetrek,Koichi,0.69,"['Isikemi', 'Hageken', 'Piekura']"
Sotrentaira,Lonetrek,Haurala,0.51,"['Uemisaisen', 'Raussinen']"
Ouranienen,Lonetrek,Haurala,0.69,"['Uemisaisen', 'Autama', 'Tsukuras']"
Erenta,Lonetrek,Haurala,0.63,"['Uemisaisen', 'Kino', 'Kuoka']"
Tsuguwa,Lonetrek,Okela,0.77,"['Iidoken', 'Nourvukaiken', 'Ekura', 'Airkio']"
Ekura,Lonetrek,Okela,0.88,"['Tsuguwa', 'Amsen', 'Jouvulen']"
Arvasaras,Lonetrek,Kaala,0.52,['Vellaine']
Akonoinen,Lonetrek,Kaala,0.49,"['Hageken', 'Vellaine', 'Vaajaita', 'Autaris']"
Autaris,Lonetrek,Kaala,0.47,"['Vellaine', 'Akonoinen', 'Jan']"
Pakkonen,Lonetrek,Makiriemi,0.42,['Isikano']
Piekura,Lonetrek,Makiriemi,0.51,"['Uosusuokko', 'Saatuban', 'Mara', 'Korama']"
Aakari,Lonetrek,Sela,0.66,"['Korama', 'Ylandoki', 'Isseras']"
Isseras,Lonetrek,Sela,0.56,"['Ylandoki', 'Aakari']"
Litiura,Lonetrek,Minnen,0.49,"['Uemisaisen', 'Elonaya', 'Nonni', 'Passari']"
Umokka,Lonetrek,Karnola,0.56,['Ruvas']
Kirras,Lonetrek,Kainokai,0.82,"['Iidoken', 'Autama', 'Nani']"
Ambeke,Sinq Laison,Gallente Border Zone,0.5,"['Faurent', 'Olettiers', 'Crielere']"
Carrou,Sinq Laison,Gallente Border Zone,0.44,"['Faurent', 'Direrie', 'Ignoitton', 'Bamiette']"
Direrie,Sinq Laison,Gallente Border Zone,0.5,"['Faurent', 'Carrou']"
Kausaaja,The Citadel,Arekin,0.74,"['Auviken', 'Kaimon', 'Ahynada']"
Oiniken,The Citadel,Arekin,0.72,"['Isaziwa', 'Kaimon', 'Ahynada', 'Aikoro']"
Tasabeshi,The Citadel,Outartoh,0.83,"['Isutaka', 'Ono']"
Halaima,The Citadel,Uusasai,0.66,"['Sarekuwa', 'Huttaken', 'Kamio', 'Sankkasen']"
Inaro,The Citadel,Suon,0.84,"['Sirseshin', 'Kaaputenen', 'Waskisen', 'Sirppala']"
Suroken,The Citadel,Tasen,0.73,"['Haatomo', 'Kusomonmon', 'Juunigaishi', 'Anttiri']"
Anttiri,The Citadel,Tasen,0.71,"['Sirppala', 'Suroken', 'Juunigaishi', 'Isikesu']"
Tama,The Citadel,Isoma,0.28,"['Nourvukaiken', 'Sujarento', 'Kedama']"
Hjortur,Metropolis,Stadakorn,0.86,"['Unpas', 'Illuin', 'Egbonbet', 'Totkubad', 'Evettullur']"
Akiainavas,Lonetrek,Karnola,0.75,['Airkio']
Uitra,The Forge,Anttanen,0.92,['Unpas']
Komo,The Citadel,Santenpaa,0.8,"['Ahynada', 'Oichiya']"
Hitanishio,Lonetrek,Okela,0.95,['Sarekuwa']
Urhinichi,The Citadel,Suon,0.84,['Sirppala']
Geras,The Forge,Anttanen,0.65,"['Tuuriainas', 'Nomaa']"
Sirseshin,The Forge,Anttanen,0.75,"['Tuuriainas', 'Inaro']"
Tuuriainas,The Forge,Anttanen,0.61,"['Geras', 'Sirseshin', 'Shihuken']"
Eskunen,The Forge,Ihilakken,0.63,"['Outuni', 'Ohmahailen']"
Saisio,The Forge,Okomon,0.65,"['Nomaa', 'Abagawa', 'Jakanerva']"
Olo,The Forge,Onirvura,0.68,"['Obanen', 'Ishisomo', 'Osmon']"
Dantumi,Lonetrek,Okunda,0.4,"['Ossa', 'Aurohunen', 'Mara']"
Hageken,Lonetrek,Koichi,0.6,"['Uosusuokko', 'Akonoinen', 'Vuorrassi']"
Kino,Lonetrek,Haurala,0.73,"['Erenta', 'Venilen']"
Raussinen,Lonetrek,Haurala,0.45,['Sotrentaira']
Vaajaita,Lonetrek,Kaala,0.46,"['Aurohunen', 'Akonoinen', 'Jan']"
Jan,Lonetrek,Kaala,0.42,"['Vaajaita', 'Autaris', 'Nalvula']"
Mara,Lonetrek,Makiriemi,0.42,"['Dantumi', 'Piekura', 'Passari', 'Hasama']"
Elonaya,Lonetrek,Minnen,0.67,"['Litiura', 'Nonni', 'Piak']"
Nonni,Lonetrek,Minnen,0.51,"['Aunenen', 'Elonaya', 'Litiura']"
Passari,Lonetrek,Minnen,0.44,"['Mara', 'Litiura']"
Autama,Lonetrek,Kainokai,0.78,"['Ouranienen', 'Kirras', 'Tsukuras']"
Tsukuras,Lonetrek,Kainokai,0.73,"['Ouranienen', 'Autama', 'Ajanen']"
Nani,Lonetrek,Kainokai,0.84,['Kirras']
Kuoka,Lonetrek,Kainokai,0.58,"['Erenta', 'Ajanen']"
Olettiers,Sinq Laison,Lolbrerie,0.43,"['Ambeke', 'Dodenvale', 'Artisine', 'Crielere']"
Bamiette,Sinq Laison,Lolbrerie,0.5,"['Carrou', 'Artisine']"
Crielere,Sinq Laison,Lolbrerie,0.4,"['Ambeke', 'Olettiers', 'Rancer']"
Isaziwa,The Citadel,Imurukka,0.72,"['Konola', 'Inoue', 'Oiniken']"
Auviken,The Citadel,Nagaslaiken,0.82,"['Ohvosamon', 'Oijamon', 'Kakki', 'Kausaaja']"
Huttaken,The Citadel,Kantanen,0.57,"['Rairomon', 'Hogimo', 'Halaima']"
Ono,The Citadel,Outartoh,0.79,['Tasabeshi']
Kamio,The Citadel,Uusasai,0.74,"['Halaima', 'Ikao', 'Kaaputenen']"
Sankkasen,The Citadel,Uusasai,0.67,"['Halaima', 'Tintoh', 'Waira']"
Kaaputenen,The Citadel,Suon,0.78,"['Kamio', 'Inaro', 'Niarja']"
Waskisen,The Citadel,Suon,0.69,"['Ikao', 'Inaro', 'Irjunen']"
Haatomo,The Citadel,Tasen,0.61,"['Uedama', 'Suroken']"
Juunigaishi,The Citadel,Tasen,0.62,"['Uedama', 'Ikao', 'Suroken', 'Isikesu', 'Anttiri']"
Isikesu,The Citadel,Tasen,0.67,"['Juunigaishi', 'Anttiri']"
Sujarento,The Citadel,Isoma,0.31,"['Nagamanen', 'Eranakko', 'Onatoh', 'Tama']"
Oichiya,The Citadel,Santenpaa,0.85,"['Isenairos', 'Motsu', 'Komo', 'Laah']"
Illuin,Metropolis,Gedur,0.91,"['Stirht', 'Aldilur', 'Alf', 'Hjortur', 'Leurtmar']"
Egbonbet,Metropolis,Stadakorn,0.89,"['Hjortur', 'Tamekamur']"
Totkubad,Metropolis,Stadakorn,0.87,"['Hjortur', 'Meimungen', 'Agtver', 'Datulen']"
Evettullur,Metropolis,Stadakorn,0.79,"['Hjortur', 'Tratokard']"
Jouvulen,Lonetrek,Okela,0.89,['Ekura']
Senda,The Forge,Anttanen,0.91,['Shihuken']
Kedama,Black Rise,Okakuola,0.34,"['Tama', 'Hirri', 'Teimo', 'Nisuwa', 'Reitsato']"
Abagawa,The Forge,Okomon,0.63,"['Saisio', 'Hurtoken']"
Jakanerva,The Forge,Okomon,0.74,"['Saisio', 'Gekutami', 'Hampinen']"
Ishisomo,The Forge,Okkelen,0.65,"['Olo', 'Airmia', 'Sakkikainen']"
Osmon,The Forge,Aulari,0.68,"['Olo', 'Korsiki', 'Inaya']"
Ossa,Lonetrek,Okunda,0.53,"['Dantumi', 'Antiainen']"
Aunenen,Lonetrek,Minnen,0.45,"['Nonni', 'Liukikka', 'Otalieto']"
Piak,Lonetrek,Minnen,0.74,"['Elonaya', 'Haajinen', 'Onnamon']"
Ajanen,Lonetrek,Kainokai,0.63,"['Tsukuras', 'Kuoka']"
Vuorrassi,Lonetrek,Mito,0.53,"['Hageken', 'Oimmo', 'Nalvula']"
Nalvula,Lonetrek,Mito,0.39,"['Jan', 'Vuorrassi', 'Oimmo', 'Otsasai', 'Taisy', 'Hakonen']"
Dodenvale,Sinq Laison,Lolbrerie,0.71,"['Olettiers', 'Chainelant', 'Sileperer']"
Artisine,Sinq Laison,Lolbrerie,0.5,"['Olettiers', 'Bamiette']"
Rancer,Sinq Laison,Aeman,0.36,"['Crielere', 'Miroitem']"
Konola,The Citadel,Imurukka,0.67,"['Isaziwa', 'Eitu']"
Inoue,The Citadel,Imurukka,0.57,"['Isaziwa', 'Erila']"
Ohvosamon,The Citadel,Nagaslaiken,0.73,"['Auviken', 'Jeras']"
Oijamon,The Citadel,Nagaslaiken,0.82,"['Auviken', 'Saikanen', 'Jeras']"
Kakki,The Citadel,Nagaslaiken,0.84,"['Auviken', 'Saikanen']"
Hasama,The Citadel,Ieyama,0.27,"['Mara', 'Nikkishina']"
Uedama,The Citadel,Kantanen,0.51,"['Sivala', 'Kubinen', 'Ikao', 'Haatomo', 'Juunigaishi']"
Rairomon,The Citadel,Kantanen,0.63,"['Enderailen', 'Huttaken']"
Hogimo,The Citadel,Kantanen,0.56,"['Kulelen', 'Huttaken', 'Venilen']"
Tintoh,The Citadel,Uusasai,0.81,"['Sankkasen', 'Santola']"
Ikao,The Citadel,Uusasai,0.6,"['Uedama', 'Kamio', 'Santola', 'Waskisen', 'Irjunen', 'Juunigaishi']"
Waira,The Citadel,Uusasai,0.53,"['Sankkasen', 'Uotila']"
Irjunen,The Citadel,Suon,0.52,"['Ikao', 'Waskisen', 'Inari']"
Venilen,The Citadel,Otawasa,0.61,"['Kino', 'Hogimo', 'Kaunokka']"
Nagamanen,The Citadel,Isoma,0.3,"['Hasmijaala', 'Oto', 'Sujarento', 'Deven']"
Eranakko,The Citadel,Isoma,0.32,"['Sujarento', 'Onatoh']"
Onatoh,The Citadel,Isoma,0.3,"['Sujarento', 'Eranakko', 'Tannolen']"
Isenairos,The Citadel,Santenpaa,0.8,"['Uotila', 'Saila', 'Oichiya']"
Motsu,The Citadel,Santenpaa,0.87,"['Oichiya', 'Laah']"
Stirht,Metropolis,Gedur,0.92,"['Arlulf', 'Illuin']"
Aldilur,Metropolis,Gedur,0.91,['Illuin']
Alf,Metropolis,Gedur,0.95,"['Arlulf', 'Brundakur', 'Illuin', 'Abrat']"
Meimungen,Metropolis,Stadakorn,0.91,"['Totkubad', 'Datulen', 'Situner', 'Erego']"
Agtver,Metropolis,Stadakorn,0.88,"['Totkubad', 'Datulen', 'Tamekamur']"
Datulen,Metropolis,Stadakorn,0.86,"['Totkubad', 'Meimungen', 'Agtver', 'Situner']"
Tamekamur,Metropolis,Stadakorn,0.89,"['Egbonbet', 'Agtver']"
Leurtmar,Metropolis,Meinigefur,0.96,"['Illuin', 'Ryddinjorn', 'Embod']"
Tratokard,Metropolis,Brazinget,0.63,"['Evettullur', 'Oppold', 'Lumegen', 'Gedugaud']"
Niarja,Domain,Yekti,0.54,"['Kaaputenen', 'Bahromab', 'Madirmilire']"
Laah,The Citadel,Santenpaa,0.92,"['Aramachi', 'Oichiya', 'Motsu']"
Hirri,Black Rise,Okakuola,0.34,"['Kedama', 'Nisuwa', 'Pynekastoh']"
Teimo,Black Rise,Okakuola,0.27,['Kedama']
Nisuwa,Black Rise,Okakuola,0.31,"['Hirri', 'Kedama', 'Oinasiken', 'Notoras']"
Reitsato,Black Rise,Okakuola,0.19,"['Okkamon', 'Kedama', 'Rakapas']"
Gekutami,The Forge,Okomon,0.7,"['Jakanerva', 'Uoyonen']"
Hurtoken,The Forge,Okomon,0.59,"['Abagawa', 'Hampinen']"
Hampinen,The Forge,Okomon,0.54,"['Jakanerva', 'Hurtoken', 'Ikami']"
Airmia,The Forge,Okkelen,0.62,"['Ishisomo', 'Sakkikainen', 'Friggi']"
Sakkikainen,The Forge,Okkelen,0.59,"['Ishisomo', 'Airmia', 'Friggi', 'Vahunomi']"
Korsiki,The Forge,Aulari,0.64,"['Osmon', 'Nuken', 'Airaken']"
Inaya,The Forge,Aulari,0.55,"['Osmon', 'Uminas', 'Wuos']"
Antiainen,Lonetrek,Okunda,0.56,"['Ossa', 'Semiki', 'Kiskoken']"
Liukikka,Lonetrek,Pietanen,0.56,"['Aunenen', 'Rauntaka', 'Aikantoh']"
Otalieto,Lonetrek,Pietanen,0.51,"['Aunenen', 'Rauntaka', 'Daras', 'Jotenen', 'Endatoh']"
Haajinen,Lonetrek,Asalola,0.8,"['Piak', 'Oipo']"
Oimmo,Lonetrek,Mito,0.46,"['Vuorrassi', 'Nalvula', 'Otsasai']"
Otsasai,Lonetrek,Mito,0.35,"['Oimmo', 'Nalvula', 'Taisy', 'Hakonen']"
Taisy,Lonetrek,Mito,0.33,"['M-OEE8', 'Nalvula', 'Otsasai', 'Hakonen']"
Hakonen,Lonetrek,Mito,0.3,"['Obe', 'Nalvula', 'Otsasai', 'Taisy']"
Chainelant,Sinq Laison,Lolbrerie,0.85,"['Dodenvale', 'Unel']"
Sileperer,Sinq Laison,Lolbrerie,0.62,['Dodenvale']
Miroitem,Sinq Laison,Aeman,0.31,"['Rancer', 'Thelan', 'Lamadent', 'Otou']"
Eitu,The Citadel,Imurukka,0.54,"['Konola', 'Horkkisen', 'Erila']"
Erila,The Citadel,Imurukka,0.45,"['Inoue', 'Eitu']"
Saikanen,The Citadel,Nagaslaiken,0.87,"['Oijamon', 'Kakki']"
Jeras,The Citadel,Nagaslaiken,0.57,"['Ohvosamon', 'Oijamon', 'Usi']"
Nikkishina,The Citadel,Ieyama,0.37,"['Ishomilken', 'Hasama']"
Sivala,The Citadel,Caldari Border Zone,0.55,"['Hatakani', 'Iivinen', 'Kubinen', 'Uedama']"
Kubinen,The Citadel,Kantanen,0.42,"['Sivala', 'Uedama', 'Enderailen']"
Enderailen,The Citadel,Kantanen,0.45,"['Kubinen', 'Tunudan', 'Rairomon']"
Kulelen,The Citadel,Kantanen,0.48,"['Tunudan', 'Hogimo', 'Yria']"
Santola,The Citadel,Uusasai,0.83,"['Tintoh', 'Ikao']"
Inari,The Citadel,Suon,0.46,['Irjunen']
Kaunokka,The Citadel,Otawasa,0.49,"['Yria', 'Venilen']"
Hasmijaala,The Citadel,Isoma,0.34,"['Hysera', 'Nagamanen']"
Oto,The Citadel,Isoma,0.4,['Nagamanen']
Tannolen,The Citadel,Isoma,0.3,"['Onatoh', 'Tierijev']"
Uotila,The Citadel,Santenpaa,0.57,"['Waira', 'Isenairos']"
Saila,The Citadel,Santenpaa,0.89,"['Isenairos', 'Aramachi']"
Aramachi,The Citadel,Santenpaa,0.49,"['Saila', 'Laah']"
Arlulf,Metropolis,Gedur,0.96,"['Ameinaka', 'Brundakur', 'Stirht', 'Alf', 'Orgron']"
Brundakur,Metropolis,Gedur,0.89,"['Arlulf', 'Nedegulf', 'Alf']"
Situner,Metropolis,Stadakorn,0.84,"['Meimungen', 'Datulen']"
Ryddinjorn,Metropolis,Meinigefur,1,"['Meirakulf', 'Leurtmar', 'Arlek']"
Oppold,Metropolis,Brazinget,0.67,"['Hilfhurmur', 'Geffur', 'Tratokard', 'Gedugaud']"
Lumegen,Metropolis,Brazinget,0.58,['Tratokard']
Gedugaud,Metropolis,Brazinget,0.74,"['Oppold', 'Tratokard', 'Josekorn']"
Bahromab,Domain,Yekti,0.57,"['Kudi', 'Madirmilire', 'Niarja', 'Saana']"
Madirmilire,Domain,Yekti,0.6,"['Ashab', 'Bahromab', 'Niarja', 'Saana', 'Romi']"
Deven,Essence,Jeon,0.32,"['Nagamanen', 'Fliet']"
Abrat,Metropolis,Gedur,0.98,['Alf']
Embod,Metropolis,Meinigefur,0.96,['Leurtmar']
Erego,Metropolis,Stadakorn,0.93,['Meimungen']
Onnamon,Black Rise,Aokinen,0.56,"['Piak', 'Kinakka', 'Rohamaa', 'Uuhulanen', 'Tsuruma', 'Ahtila']"
Okkamon,Black Rise,Kurala,0.29,"['Asakai', 'Mushikegi', 'Reitsato']"
Oinasiken,Black Rise,Okakuola,0.23,"['Abune', 'Nisuwa', 'Pynekastoh']"
Notoras,Black Rise,Okakuola,0.19,['Nisuwa']
Rakapas,Black Rise,Okakuola,0.22,"['Iwisoda', 'Pynekastoh', 'Reitsato']"
Pynekastoh,Black Rise,Okakuola,0.24,"['Hikkoken', 'Hirri', 'Oinasiken', 'Rakapas']"
Uoyonen,The Forge,Okomon,0.7,"['Gekutami', 'Vattuolen']"
Ikami,The Forge,Ihatalo,0.53,"['Hampinen', 'Reisen', 'Purjola']"
Friggi,The Forge,Okkelen,0.51,"['Airmia', 'Sakkikainen', 'Ihakana', 'Otitoh']"
Vahunomi,The Forge,Okkelen,0.53,['Sakkikainen']
Nuken,The Forge,Aulari,0.76,['Korsiki']
Uminas,The Forge,Aulari,0.48,['Inaya']
Airaken,The Forge,Aulari,0.5,"['Korsiki', 'Oijanen']"
Wuos,The Forge,Aulari,0.56,['Inaya']
Obe,The Forge,Orpana,0.35,"['Ohkunen', 'P3EN-E', 'Hakonen']"
M-OEE8,Tribute,1P-VL2,-0.22,"['E-OGL4', 'J-GAMP', 'V0DF-2', 'FY0W-N', 'Taisy']"
Semiki,Lonetrek,Okunda,0.59,['Antiainen']
Kiskoken,Lonetrek,Okunda,0.52,['Antiainen']
Rauntaka,Lonetrek,Pietanen,0.53,"['Liukikka', 'Atai', 'Otalieto']"
Aikantoh,Lonetrek,Pietanen,0.65,['Liukikka']
Daras,Lonetrek,Pietanen,0.36,"['Atai', 'Otalieto', 'Iitanmadan']"
Jotenen,Lonetrek,Pietanen,0.58,"['Atai', 'Otalieto']"
Oipo,Lonetrek,Asalola,0.76,"['Haajinen', 'Isinokka']"
Endatoh,Lonetrek,Malariya,0.57,"['Otalieto', 'Aivoli']"
Ameinaka,Heimatar,Ortner,0.99,"['Hulm', 'Ivar', 'Arlulf', 'Malukker']"
Meirakulf,Heimatar,Odengsolf,0.88,"['Ivar', 'Frarn', 'Ryddinjorn']"
Unel,Sinq Laison,Agiesseson,0.89,"['Chainelant', 'Auberulle', 'Tennen']"
Thelan,Sinq Laison,Aeman,0.23,"['Hagilur', 'Miroitem', 'Rorsins']"
Lamadent,Sinq Laison,Aeman,0.34,"['Miroitem', 'Otou']"
Otou,Sinq Laison,Aeman,0.33,"['Hek', 'Miroitem', 'Lamadent']"
Horkkisen,The Citadel,Imurukka,0.44,['Eitu']
Usi,The Citadel,Ieyama,0.54,"['Jeras', 'Ishomilken']"
Ishomilken,The Citadel,Ieyama,0.37,"['Usi', 'Nikkishina', 'Uuna']"
Hatakani,The Citadel,Caldari Border Zone,0.94,"['Kassigainen', 'Yashunen', 'Tennen', 'Sivala']"
Iivinen,The Citadel,Caldari Border Zone,0.74,"['Tennen', 'Sivala']"
Tunudan,The Citadel,Kantanen,0.41,"['Enderailen', 'Kulelen']"
Yria,The Citadel,Otawasa,0.5,"['Kulelen', 'Oshaima', 'Kaunokka', 'Oisio']"
Hysera,The Citadel,Otawasa,0.4,"['Oshaima', 'Oisio', 'Hasmijaala']"
Nedegulf,Metropolis,Gedur,0.77,['Brundakur']
Arlek,Metropolis,Meinigefur,0.96,"['Ryddinjorn', 'Elgoi']"
Hilfhurmur,Metropolis,Brazinget,0.79,"['Maturat', 'Geffur', 'Oppold']"
Geffur,Metropolis,Brazinget,0.71,"['Hilfhurmur', 'Oppold']"
Josekorn,Metropolis,Panorad,0.64,"['Gedugaud', 'Nifflung', 'Dantbeinn']"
Ashab,Domain,Parud,0.91,"['Amarr', 'Hedion', 'Kehour', 'Penirgman', 'Chaven', 'Madirmilire', 'Teshi']"
Kudi,Domain,Yekti,0.7,"['Arbaz', 'Sharji', 'Bahromab', 'Fabum']"
Saana,Domain,Yekti,0.55,"['Bahromab', 'Madirmilire']"
Romi,Kador,Megeh,0.72,"['Bhizheba', 'Madirmilire', 'Sayartchen', 'Aphend']"
Fliet,Essence,Jeon,0.35,"['Heydieles', 'Actee', 'Deven']"
Abune,Essence,Jeon,0.29,"['Heydieles', 'Oinasiken']"
Tierijev,Verge Vendor,Aideron,0.84,"['Tannolen', 'Derririntel', 'Chantrousse', 'Osmomonne']"
Orgron,Metropolis,Gedur,0.96,['Arlulf']
Kinakka,Black Rise,Inolari,0.42,"['Raihbaka', 'Innia', 'Martoh', 'Onnamon']"
Rohamaa,Black Rise,Aokinen,0.5,"['Uchomida', 'Onnamon']"
Uuhulanen,Black Rise,Aokinen,0.49,"['Palpis', 'Samanuni', 'Astoh', 'Onnamon']"
Tsuruma,Black Rise,Aokinen,0.54,"['Astoh', 'Onnamon']"
Ahtila,Black Rise,Aokinen,0.64,"['Samanuni', 'Onnamon', 'Ichoriya']"
Asakai,Black Rise,Kurala,0.26,"['Okkamon', 'Vaaralen', 'Prism', 'Mushikegi', 'Elunala', 'Ikoskio']"
Mushikegi,Black Rise,Kurala,0.43,"['Manjonakko', 'Okkamon', 'Vaaralen', 'Asakai']"
Hikkoken,Black Rise,Ishaga,0.34,"['Hallanen', 'Immuri', 'Nennamaila', 'Pynekastoh']"
Iwisoda,Black Rise,Okakuola,0.24,['Rakapas']
Reisen,The Forge,Ihatalo,0.52,"['Ikami', 'Purjola', 'Akora']"
